1322.81,3528.45,718.59,6266.96,6945.20,1083.15,4192.67
8490.49,5568.94,2305.63,7821.66,8459.82,9032.74,5215.60
8311.98,3366.91,3827.52,5673.54,7966.39,9815.27,8645.24
9558.37,5909.31,6125.29,7229.35,875.51,1970.16,1996.53
1157.49,946.94,8217.19,8590.55,7043.07,9386.72,7485.26
3364.86,4001.60,7106.89,9128.20,4347.69,150.41,5260.46
9731.39,8003.32,1451.21,1746.04,519.83,3278.01,2235.67
8635.49,3809.01,1992.75,4392.29,9746.87,8014.74,2362.71
1389.55,7447.42,4426.17,8076.59,4048.09,1757.98,9260.76
127.64,7306.94,2822.02,1361.39,2363.10,1085.29,9899.40
9273.49,4617.18,3793.43,6175.77,1468.81,9167.03,4057.37
8884.95,9937.97,7282.76,4755.70,8529.15,561.49,2660.86
3629.78,9274.92,3226.86,7660.44,6391.87,5032.36,981.79
6429.12,1524.42,2152.92,204.26,6228.44,760.57,218.70
3186.06,4597.47,5637.47,6959.46,394.94,5323.65,8428.35
1992.57,2161.09,635.46,5274.67,6761.81,8578.74,501.54
403.65,4859.84,1991.19,2488.21,2941.49,7694.11,8589.21
7217.92,2023.37,5404.22,4400.64,5162.46,1643.84,1847.71
6175.99,227.48,4024.93,5521.74,9587.97,4396.61,9138.32
5352.35,5514.42,5558.08,8466.27,1421.49,175.42,7550.87
3083.00,5922.60,6424.18,7477.23,9709.00,8895.23,1584.39
354.48,3519.38,6608.62,1869.32,5300.27,3151.07,7875.58
4678.71,629.71,1655.97,5025.21,7806.66,7444.04,6905.30
1770.82,8970.24,2645.08,6372.60,9806.73,9964.57,2605.18
4128.70,9602.54,7224.93,8211.01,2411.51,8554.32,4604.61
436.38,6177.66,1452.71,4780.38,3164.84,6681.64,4021.51
2849.46,6617.10,9307.14,205.77,9401.68,365.92,1643.88
